ríki|noun	ríki
hvetja|active	hvetja
mánuður|noun	mánuður
fjölmiðli|noun	fjölmiðli
ár|noun	ár
fórnarlamb|noun	fórnarlamb
aðild|noun	aðild
lögregla|noun	lögregla
myrða|active	myrða
særða|active	særða
frakkland|noun	frakkland
þáttur|noun	þáttur
keyra|active	keyra
hryðjuverk|noun	hryðjuverk
árása|noun	árása
árás|noun	árás
borg|noun	borg
húsleit|noun	húsleit
leita|active	leita
yfirvald|noun	yfirvald
láta|active	láta
finna|active	finna
sprengja|noun	sprengja
ræða|active	ræða
særa|active	særa
skríða|active	skríða
gera|active	gera
árásarmaður|noun	árásarmaður
leggja|active	leggja
dagur|noun	dagur
grunur|noun	grunur
sjá|active	sjá
hryðjuverkaárásir|noun	hryðjuverkaárásir
handtaka|active	handtaka
ferðast|active	ferðast
staður|noun	staður
öryggisgæsla|noun	öryggisgæsla
árásir|noun	árásir
myndband|noun	myndband
neyðarástand|noun	neyðarástand
íslendingur|noun	íslendingur
flugvöllur|noun	flugvöllur
tengsl|noun	tengsl
líf|noun	líf
tengja|active	tengja
sendiherra|noun	sendiherra
kennsl|noun	kennsl
fara|active	fara
lýsa|active	lýsa
sprunga|active	sprunga
áhlaup|noun	áhlaup
fólk|noun	fólk
standa|active	standa
koma|active	koma
eiga|active	eiga
vörubíll|noun	vörubíll
land|noun	land
bera|active	bera
voðaverk|noun	voðaverk
ábyrgð|noun	ábyrgð
ákæra|active	ákæra
falla|active	falla
maður|noun	maður
ódæði|noun	ódæði
fremja|active	fremja
isis|noun	isis
jólamarkaður|noun	jólamarkaður
lögregluyfirvald|noun	lögregluyfirvald
vera|active	vera
sprenging|noun	sprenging
lenda|active	lenda
rannsókn|noun	rannsókn
hryðjuverka|noun	hryðjuverka
fjöldi|noun	fjöldi
saksóknari|noun	saksóknari
hryðjuverkaárása|noun	hryðjuverkaárása
sprengda|active	sprengda
verða|active	verða
aka|active	aka
hryðjuverkaárás|noun	hryðjuverkaárás
ganga|active	ganga
flýja|active	flýja
